"0x809b10","Name","Description","Use Screen","When Used","Item Type","Ability 1","Ability 2","Ability 3","Ability 4","Stat Boosts Address","Effectiveness Address","Uses","POW","Hit","Weight","Critical","Range","Price Per Use","Level","Icon","Effect ID","Damage Ddditional Effect","WEXP Gain","Debuffs","??","??"
"0x10 Light Brand","0x362","0x412","0x0","0x10","0x0","0x41","0x0","0x0","0x0","0x0","0x0",25,9,70,9,0,"0x12",50,71,"0xf","0x0","0x0",1,"0x0","0x0","0x0"
"0x11 Runesword","0x363","0x413","0x0","0x11","0x0","0x41","0x0","0x0","0x0","0x0","0x0",15,12,65,11,0,"0x12",220,181,"0x10","0x0","0x2",1,"0x0","0x0","0x0"
"0x12 Lancereaver","0x364","0x414","0x0","0x12","0x0","0x1","0x1","0x0","0x0","0x0","0x0",15,9,75,9,5,"0x11",120,71,"0x11","0x0","0x0",2,"0x0","0x0","0x0"
"0x13 Zanbato","0x365","0x415","0x0","0x13","0x0","0x1","0x0","0x0","0x0","0x0","HorseEffectiveness|IsPointer",18,6,85,11,0,"0x11",70,31,"0x12","0x0","0x0",1,"0x0","0x0","0x0"
"0x14 Iron Lance","0x369","0x419","0x0","0x14","0x1","0x1","0x0","0x0","0x0","0x0","0x0",45,7,80,8,0,"0x11",8,1,"0x13","0x0","0x0",1,"0x0","0x0","0x0"
"0x15 Slim Lance","0x36a","0x41a","0x0","0x15","0x1","0x1","0x0","0x0","0x0","0x0","0x0",30,4,85,4,5,"0x11",15,1,"0x14","0x0","0x0",1,"0x0","0x0","0x0"
"0x16 Steel Lance","0x36b","0x41b","0x0","0x16","0x1","0x1","0x0","0x0","0x0","0x0","0x0",30,10,70,13,0,"0x11",16,31,"0x15","0x0","0x0",2,"0x0","0x0","0x0"
"0x17 Silver Lance","0x36c","0x41c","0x0","0x17","0x1","0x1","0x0","0x0","0x0","0x0","0x0",20,14,75,10,0,"0x11",60,181,"0x16","0x0","0x0",1,"0x0","0x0","0x0"
"0x18 Toxin Lance","0x36d","0x41d","0x0","0x18","0x1","0x1","0x0","0x0","0x0","0x0","0x0",40,4,65,8,0,"0x11",0,1,"0x17","0x0","0x1",1,"0x0","0x0","0x0"
"0x19 Brave Lance","0x36e","0x41e","0x0","0x19","0x1","0x21","0x0","0x0","0x0","0x0","0x0",30,10,70,14,0,"0x11",250,121,"0x18","0x0","0x0",1,"0x0","0x0","0x0"
"0x1A Killer Lance","0x36f","0x41f","0x0","0x1a","0x1","0x1","0x0","0x0","0x0","0x0","0x0",20,10,70,9,30,"0x11",60,71,"0x19","0x0","0x0",1,"0x0","0x0","0x0"
"0x1B Horseslayer","0x370","0x420","0x0","0x1b","0x1","0x1","0x0","0x0","0x0","0x0","HorseEffectiveness|IsPointer",16,7,70,13,0,"0x11",65,31,"0x1a","0x0","0x0",1,"0x0","0x0","0x0"
"0x1C Javelin","0x371","0x421","0x0","0x1c","0x1","0x1","0x0","0x0","0x0","0x0","0x0",20,6,65,11,0,"0x12",20,1,"0x1b","0x0","0x0",1,"0x0","0x0","0x0"
"0x1D Spear","0x372","0x422","0x0","0x1d","0x1","0x1","0x0","0x0","0x0","0x0","0x0",15,12,70,10,5,"0x12",600,121,"0x1c","0x0","0x0",1,"0x0","0x0","0x0"
"0x1E Axereaver","0x373","0x423","0x0","0x1e","0x1","0x1","0x1","0x0","0x0","0x0","0x0",15,10,70,11,5,"0x11",130,71,"0x1d","0x0","0x0",2,"0x0","0x0","0x0"
"0x1F Iron Axe","0x37a","0x42a","0x0","0x1f","0x2","0x1","0x0","0x0","0x0","0x0","0x0",45,8,75,10,0,"0x11",6,1,"0x1e","0x0","0x0",1,"0x0","0x0","0x0"
"0x20 Steel Axe","0x37b","0x42b","0x0","0x20","0x2","0x1","0x0","0x0","0x0","0x0","0x0",30,11,65,15,0,"0x11",12,1,"0x1f","0x0","0x0",2,"0x0","0x0","0x0"
"0x21 Silver Axe","0x37c","0x42c","0x0","0x21","0x2","0x1","0x0","0x0","0x0","0x0","0x0",20,15,70,12,0,"0x11",50,181,"0x20","0x0","0x0",1,"0x0","0x0","0x0"
"0x22 Poison Axe","0x37d","0x42d","0x0","0x22","0x2","0x1","0x0","0x0","0x0","0x0","0x0",40,4,60,10,0,"0x11",0,31,"0x21","0x0","0x1",1,"0x0","0x0","0x0"
"0x23 Brave Axe","0x37e","0x42e","0x0","0x23","0x2","0x21","0x0","0x0","0x0","0x0","0x0",30,10,65,16,0,"0x11",250,121,"0x22","0x0","0x0",1,"0x0","0x0","0x0"
"0x24 Killer Axe","0x37f","0x42f","0x0","0x24","0x2","0x1","0x0","0x0","0x0","0x0","0x0",20,11,65,11,30,"0x11",50,71,"0x23","0x0","0x0",1,"0x0","0x0","0x0"
"0x25 Halberd","0x380","0x430","0x0","0x25","0x2","0x1","0x0","0x0","0x0","0x0","HorseEffectiveness|IsPointer",18,10,60,15,0,"0x11",45,31,"0x24","0x0","0x0",1,"0x0","0x0","0x0"
"0x26 Hammer","0x381","0x431","0x0","0x26","0x2","0x1","0x0","0x0","0x0","0x0","ArmorEffectiveness|IsPointer",20,10,55,15,0,"0x11",40,31,"0x25","0x0","0x0",2,"0x0","0x0","0x0"
"0x27 Devil Axe","0x382","0x432","0x0","0x27","0x2","0x1","0x0","0x0","0x0","0x0","0x0",20,18,55,18,0,"0x11",45,1,"0x26","0x0","0x4",8,"0x0","0x0","0x0"
"0x28 Hand Axe","0x383","0x433","0x0","0x28","0x2","0x1","0x0","0x0","0x0","0x0","0x0",20,7,60,12,0,"0x12",15,1,"0x27","0x0","0x0",1,"0x0","0x0","0x0"
"0x29 Tomahawk","0x384","0x434","0x0","0x29","0x2","0x1","0x0","0x0","0x0","0x0","0x0",15,13,65,14,0,"0x12",200,181,"0x28","0x0","0x0",1,"0x0","0x0","0x0"
"0x2A Swordreaver","0x385","0x435","0x0","0x2a","0x2","0x1","0x1","0x0","0x0","0x0","0x0",15,11,65,13,5,"0x11",140,71,"0x29","0x0","0x0",2,"0x0","0x0","0x0"
"0x2B Swordslayer","0x386","0x436","0x0","0x2b","0x2","0x1","0x1","0x0","0x0","0x0","SwordEffectiveness|IsPointer",20,11,80,13,5,"0x11",100,71,"0x2a","0x0","0x0",1,"0x0","0x0","0x0"
"0x2C Hatchet","0x38a","0x43a","0x0","0x2c","0x2","0x1","0x0","0x0","0x0","0x0","0x0",50,4,85,5,0,"0x12",0,1,"0xb9","0x0","0x0",1,"0x0","0x0","0x0"
"0x2D Iron Bow","0x38b","0x43b","0x0","0x2d","0x3","0x1","0x0","0x0","0x0","0x0","FlierEffectiveness|IsPointer",45,6,85,5,0,"0x22",12,1,"0x2b","0x0","0x0",1,"0x0","0x0","0x0"
"0x2E Steel Bow","0x38c","0x43c","0x0","0x2e","0x3","0x1","0x0","0x0","0x0","0x0","FlierEffectiveness|IsPointer",30,9,70,9,0,"0x22",24,31,"0x2c","0x0","0x0",1,"0x0","0x0","0x0"
"0x2F Silver Bow","0x38d","0x43d","0x0","0x2f","0x3","0x1","0x0","0x0","0x0","0x0","FlierEffectiveness|IsPointer",20,13,75,6,0,"0x22",80,181,"0x2d","0x0","0x0",1,"0x0","0x0","0x0"
"0x30 Poison Bow","0x38e","0x43e","0x0","0x30","0x3","0x1","0x0","0x0","0x0","0x0","FlierEffectiveness|IsPointer",40,4,65,5,0,"0x22",0,31,"0x2e","0x0","0x1",1,"0x0","0x0","0x0"
"0x31 Killer Bow","0x38f","0x43f","0x0","0x31","0x3","0x1","0x0","0x0","0x0","0x0","FlierEffectiveness|IsPointer",20,9,75,7,30,"0x22",70,71,"0x2f","0x0","0x0",1,"0x0","0x0","0x0"
"0x32 Brave Bow","0x390","0x440","0x0","0x32","0x3","0x21","0x0","0x0","0x0","0x0","FlierEffectiveness|IsPointer",30,10,70,12,0,"0x22",250,121,"0x30","0x0","0x0",1,"0x0","0x0","0x0"
"0x33 Short Bow","0x391","0x441","0x0","0x33","0x3","0x1","0x0","0x0","0x0","0x0","FlierEffectiveness|IsPointer",22,5,85,3,10,"0x22",80,31,"0x31","0x0","0x0",2,"0x0","0x0","0x0"
"0x34 Longbow","0x392","0x442","0x0","0x34","0x3","0x1","0x0","0x0","0x0","0x0","FlierEffectiveness|IsPointer",20,5,65,10,0,"0x23",100,31,"0x32","0x0","0x0",1,"0x0","0x0","0x0"
"0x35 Ballista","0x393","0x443","0x0","0x35","0x3","0x81","0x0","0x0","0x0","0x0","FlierEffectiveness|IsPointer",5,8,60,20,0,"0x3a",0,1,"0x33","0x0","0x0",4,"0x0","0x0","0x0"
"0x36 Iron Ballista","0x394","0x444","0x0","0x36","0x3","0x81","0x0","0x0","0x0","0x0","FlierEffectiveness|IsPointer",5,13,60,20,0,"0x3f",0,1,"0x34","0x0","0x0",4,"0x0","0x0","0x0"
"0x37 Killer Ballista","0x395","0x445","0x0","0x37","0x3","0x81","0x0","0x0","0x0","0x0","FlierEffectiveness|IsPointer",5,12,65,20,10,"0x3a",0,1,"0x35","0x0","0x0",4,"0x0","0x0","0x0"
"0x38 Fire","0x3a9","0x458","0x0","0x38","0x5","IsWeapon|IsMagic","0x0","0x0","0x0","0x0","0x0",40,5,90,2,5,"0x12",14,"ERank","0x36","0x0","0x0",1,"0x0","0x0","0x0"
"0x39 Thunder","0x3aa","0x459","0x0","0x39","0x5","IsWeapon|IsMagic","0x0","0x0","0x0","0x0","0x0",35,7,85,4,15,"0x12",20,"DRank","0x37","0x0","0x0",1,"0x0","0x0","0x0"
"0x3A Elfire","0x3ab","0x45a","0x0","0x3a","0x5","IsWeapon|IsMagic","0x0","0x0","0x0","0x0","0x0",30,10,85,10,0,"0x12",40,"CRank","0x38","0x0","0x0",2,"0x0","0x0","0x0"
"0x3B Bolting","0x3ad","0x45c","0x0","0x3b","0x5","IsWeapon|IsMagic|Uncounterable","0x0","0x0","0x0","0x0","0x0",5,12,60,20,1,"0x3a",500,"BRank","0x39","0x0","0x0",1,"0x0","0x0","0x0"
"0x3C Fimbulvetr","0x3ae","0x45d","0x0","0x3c","0x5","IsWeapon|IsMagic","0x0","0x0","0x0","0x0","0x0",20,15,80,10,10,"0x12",300,"ARank","0x3a","0x0","0x0",1,"0x0","0x0","0x0"
"0x3D Dummy","0x403","0x4ab","0x0","0x3d","0x5","IsWeapon|IsMagic","0x0","0x0","0x0","0x0","0x0",20,14,85,11,5,"0x12",0,"SRank","0x3b","0x0","0x0",1,"0x0","0x0","0x0"
"0x3E Excalibur","0x3af","0x45e","0x0","0x3e","0x5","IsWeapon|IsMagic|Unsellable|Indestructible","0x0","0x0","0x0","0x88aeec4","SacredWeaponEffectiveness|IsPointer",69,18,90,12,10,"0x12",0,"SRank","0x3c","0x0","0x0",1,"0x0","0x0","0x0"
"0x3F Lightning","0x3b0","0x45f","0x0","0x3f","0x6","IsWeapon|IsMagic","0x0","0x0","0x0","0x0","0x0",50,5,100,1,5,"0x12",10,"DRank","0x3d","0x0","0x0",1,"0x0","0x0","0x0"
"0x40 Shine","0x3b1","0x460","0x0","0x40","0x6","IsWeapon|IsMagic","0x0","0x0","0x0","0x0","0x0",30,7,90,2,5,"0x12",30,"CRank","0x3e","0x0","0x0",2,"0x0","0x0","0x0"
"0x41 Divine","0x3b2","0x461","0x0","0x41","0x6","IsWeapon|IsMagic","0x0","0x0","0x0","0x0","0x0",25,9,95,4,5,"0x12",100,"BRank","0x3f","0x0","0x0",1,"0x0","0x0","0x0"
"0x42 Purge","0x3b3","0x462","0x0","0x42","0x6","IsWeapon|IsMagic|Uncounterable","0x0","0x0","0x0","0x0","0x0",5,10,70,20,10,"0x3a",600,"BRank","0x40","0x0","0x0",3,"0x0","0x0","0x0"
"0x43 Aura","0x3b4","0x463","0x0","0x43","0x6","IsWeapon|IsMagic","0x0","0x0","0x0","0x0","0x0",20,12,80,6,15,"0x12",400,"ARank","0x41","0x0","0x0",1,"0x0","0x0","0x0"
"0x44 Dummy","0x403","0x4ab","0x0","0x44","0x6","IsWeapon|IsMagic","0x0","0x0","0x0","0x0","0x0",20,6,85,10,0,"0x12",200,121,"0x42","0x0","0x0",3,"0x0","0x0","0x0"
"0x45 Flux","0x3b6","0x465","0x0","0x45","0x7","IsWeapon|IsMagic","0x0","0x0","0x0","0x0","0x0",40,8,85,3,0,"0x12",22,"DRank","0x43","0x0","0x0",1,"0x0","0x0","0x0"
"0x46 Luna","0x3b7","0x466","0x0","0x46","0x7","IsWeapon|IsMagic","0x0","NegateDef","0x0","0x0","0x0",25,2,70,6,20,"0x12",140,"CRank","0x44","0x0","0x0",1,"0x0","0x0","0x0"
"0x47 Nosferatu","0x3b8","0x467","0x0","0x47","0x7","IsWeapon|IsMagic","0x0","0x0","0x0","0x0","0x0",35,12,70,8,0,"0x12",160,"BRank","0x45","0x0","0x2",1,"0x0","0x0","0x0"
"0x48 Eclipse","0x3b9","0x468","0x0","0x48","0x7","IsWeapon|IsMagic|Uncounterable","0x0","0x0","0x0","0x0","0x0",5,0,40,20,0,"0x3a",800,"BRank","0x46","0x0","0x3",8,"0x0","0x0","0x0"
"0x49 Fenrir","0x3ba","0x469","0x0","0x49","0x7","IsWeapon|IsMagic","0x0","0x0","0x0","0x0","0x0",20,17,85,12,5,"0x12",450,"ARank","0x47","0x0","0x0",1,"0x0","0x0","0x0"
"0x4A Gleipnir","0x3bb","0x46a","0x0","0x4a","0x7","IsWeapon|IsMagic|Unsellable|Indestructible","0x0","0x0","0x0","0x88aeed0","0x0",69,20,90,14,10,"0x12",0,"SRank","0xbc","0x0","0x0",3,"0x0","0x0","0x0"
"0x4B Heal","0x3c2","0x471","0x4af","0x4b","0x4","0x4","0x0","0x0","0x0","0x0","0x0",30,0,100,2,0,"0x11",20,1,"0x49","0x1","0x0",2,"0x0","0x0","0x0"
"0x4C Mend","0x3c3","0x472","0x4b0","0x4c","0x4","0x4","0x0","0x0","0x0","0x0","0x0",20,0,100,4,0,"0x11",50,31,"0x4a","0x2","0x0",3,"0x0","0x0","0x0"
"0x4D Recover","0x3c4","0x473","0x4b1","0x4d","0x4","0x4","0x0","0x0","0x0","0x0","0x0",15,0,100,6,0,"0x11",150,71,"0x4b","0x3","0x0",3,"0x0","0x0","0x0"
"0x4E Physic","0x3c5","0x474","0x4b2","0x4e","0x4","0x4","0x0","0x0","0x0","0x0","0x0",15,0,100,5,0,"0x10",250,121,"0x4c","0x4","0x0",3,"0x0","0x0","0x0"
"0x4F Fortify","0x3c6","0x475","0x4b3","0x4f","0x4","0x4","0x0","0x0","0x0","0x0","0x0",8,0,100,7,0,"0x10",1000,181,"0x4d","0x5","0x0",5,"0x0","0x0","0x0"
"0x50 Restore","0x3c7","0x476","0x4b4","0x50","0x4","0x4","0x0","0x0","0x0","0x0","0x0",10,0,100,4,0,"0x11",200,71,"0x4e","0x6","0x0",3,"0x0","0x0","0x0"
"0x51 Silence","0x3c8","0x477","0x4b5","0x51","0x4","0x4","0x0","0x0","0x0","0x0","0x0",3,0,70,7,0,"0x10",400,121,"0x4f","0x7","0x0",5,"0x0","0x0","0x0"
"0x52 Sleep","0x3c9","0x478","0x4b6","0x52","0x4","0x4","0x0","0x0","0x0","0x0","0x0",3,0,65,8,0,"0x10",500,121,"0x50","0x8","0x0",5,"0x0","0x0","0x0"
"0x53 Berserk","0x3ca","0x479","0x4b7","0x53","0x4","0x4","0x0","0x0","0x0","0x0","0x0",3,0,60,8,0,"0x10",600,121,"0x51","0x9","0x0",5,"0x0","0x0","0x0"
"0x54 Warp","0x3cb","0x47a","0x4b8","0x54","0x4","0x4","0x0","0x0","0x0","0x0","0x0",5,0,100,5,0,"0x11",1500,181,"0x52","0xa","0x0",7,"0x0","0x0","0x0"
"0x55 Rescue","0x3cc","0x47b","0x4b9","0x55","0x4","0x4","0x0","0x0","0x0","0x0","0x0",3,0,100,6,0,"0x10",600,121,"0x53","0xb","0x0",7,"0x0","0x0","0x0"
"0x56 Torch","0x3cd","0x47c","0x4ba","0x56","0x4","0x4","0x0","0x0","0x0","0x0","0x0",10,0,100,5,0,"0x10",100,31,"0x54","0xc","0x0",5,"0x0","0x0","0x0"
"0x57 Hammerne","0x3ce","0x47d","0x4bb","0x57","0x4","0x4","0x2","0x0","0x0","0x0","0x0",3,0,100,7,0,"0x11",600,71,"0x55","0xd","0x0",8,"0x0","0x0","0x0"
"0x58 Unlock","0x3cf","0x47e","0x4bc","0x58","0x4","0x4","0x0","0x0","0x0","0x0","0x0",10,0,100,7,0,"0x12",150,31,"0x56","0xe","0x0",5,"0x0","0x0","0x0"
"0x59 Barrier","0x3d0","0x47f","0x4bd","0x59","0x4","0x4","0x0","0x0","0x0","0x0","0x0",15,0,100,4,0,"0x11",150,71,"0x57","0xf","0x0",4,"0x0","0x0","0x0"
"0x5A Dragon Axe","0x387","0x437","0x0","0x5a","0x2","0x1","0x0","0x0","0x0","0x0","DragonEffectiveness|IsPointer",30,12,60,11,0,"0x11",150,71,"0x58","0x0","0x0",1,"0x0","0x0","0x0"
"0x5B Angelic Robe","0x3d4","0x483","0x4c1","0x5b","0x9","0x0","0x0","0x0","0x0","0x88aeedc","0x0",1,0,0,0,0,"0x11",8000,0,"0x59","0x10","0x0",0,"0x0","0x0","0x0"
"0x5C Energy Ring","0x3d5","0x484","0x4c2","0x5c","0x9","0x0","0x0","0x0","0x0","0x88aeee8","0x0",1,0,0,0,0,"0x11",8000,0,"0x5a","0x11","0x0",0,"0x0","0x0","0x0"
"0x5D Secret Book","0x3d6","0x485","0x4c3","0x5d","0x9","0x0","0x0","0x0","0x0","0x88aeef4","0x0",1,0,0,0,0,"0x11",8000,0,"0x5b","0x12","0x0",0,"0x0","0x0","0x0"
"0x5E Speedwing","0x3d7","0x486","0x4c4","0x5e","0x9","0x0","0x0","0x0","0x0","0x88aef00","0x0",1,0,0,0,0,"0x11",8000,0,"0x5c","0x13","0x0",0,"0x0","0x0","0x0"
"0x5F Goddess Icon","0x3d8","0x487","0x4c5","0x5f","0x9","0x0","0x0","0x0","0x0","0x88aef0c","0x0",1,0,0,0,0,"0x11",8000,0,"0x5d","0x14","0x0",0,"0x0","0x0","0x0"
"0x60 Dragonshield","0x3d9","0x488","0x4c6","0x60","0x9","0x0","0x0","0x0","0x0","0x88aef18","0x0",1,0,0,0,0,"0x11",8000,0,"0x5e","0x15","0x0",0,"0x0","0x0","0x0"
"0x61 Talisman","0x3da","0x489","0x4c7","0x61","0x9","0x0","0x0","0x0","0x0","0x88aef24","0x0",1,0,0,0,0,"0x11",8000,0,"0x5f","0x16","0x0",0,"0x0","0x0","0x0"
"0x62 Swiftsole","0x3db","0x48a","0x4c8","0x62","0x9","0x0","0x0","0x0","0x0","0x88aef30","0x0",1,0,0,0,0,"0x11",8000,0,"0x60","0x17","0x0",0,"0x0","0x0","0x0"
"0x63 Body Ring","0x3dc","0x48b","0x4c9","0x63","0x9","0x0","0x0","0x0","0x0","0x88aef3c","0x0",1,0,0,0,0,"0x11",8000,0,"0x61","0x18","0x0",0,"0x0","0x0","0x0"
"0x64 Hero Crest","0x3dd","0x48c","0x4ca","0x64","0x9","0x0","0x0","0x0","0x0","0x0","0x0",1,0,0,0,0,"0x11",10000,0,"0x62","0x19","0x0",0,"0x0","0x0","0x0"
"0x65 Knight Crest","0x3de","0x48d","0x4cb","0x65","0x9","0x0","0x0","0x0","0x0","0x0","0x0",1,0,0,0,0,"0x11",10000,0,"0x63","0x1a","0x0",0,"0x0","0x0","0x0"
"0x66 Orion's Bolt","0x3df","0x48e","0x4cc","0x66","0x9","0x0","0x0","0x0","0x0","0x0","0x0",1,0,0,0,0,"0x11",10000,0,"0x64","0x1b","0x0",0,"0x0","0x0","0x0"
"0x67 Elysian Whip","0x3e0","0x48f","0x4cd","0x67","0x9","0x0","0x0","0x0","0x0","0x0","0x0",1,0,0,0,0,"0x11",10000,0,"0x65","0x1c","0x0",0,"0x0","0x0","0x0"
"0x68 Guiding Ring","0x3e1","0x490","0x4ce","0x68","0x9","0x0","0x0","0x0","0x0","0x0","0x0",1,0,0,0,0,"0x11",10000,0,"0x66","0x1d","0x0",0,"0x0","0x0","0x0"
"0x69 Chest Key","0x3e2","0x491","0x4cf","0x69","0x9","0x0","0x0","0x0","0x0","0x0","0x0",1,0,0,0,0,"0x11",300,0,"0x67","0x1e","0x0",0,"0x0","0x0","0x0"
"0x6A Door Key","0x3e3","0x492","0x4d0","0x6a","0x9","0x0","0x0","0x0","0x0","0x0","0x0",1,0,0,0,0,"0x11",50,0,"0x68","0x1f","0x0",0,"0x0","0x0","0x0"
"0x6B Lockpick","0x3e4","0x493","0x4d1","0x6b","0x9","0x0","0x0","0x0","0x0","0x0","0x0",15,0,0,0,0,"0x11",80,0,"0x69","0x20","0x0",0,"0x0","0x0","0x0"
"0x6C Vulnerary","0x3e5","0x494","0x4d2","0x6c","0x9","0x0","0x0","0x0","0x0","0x0","0x0",3,0,0,0,0,"0x11",100,0,"0x6a","0x21","0x0",0,"0x0","0x0","0x0"
"0x6D Elixir","0x3e6","0x495","0x4d3","0x6d","0x9","0x0","0x0","0x0","0x0","0x0","0x0",3,0,0,0,0,"0x11",1000,0,"0x6b","0x22","0x0",0,"0x0","0x0","0x0"
"0x6E Pure Water","0x3e7","0x496","0x4d4","0x6e","0x9","0x0","0x0","0x0","0x0","0x0","0x0",3,0,0,0,0,"0x11",300,0,"0x6c","0x23","0x0",0,"0x0","0x0","0x0"
"0x6F Antitoxin","0x3e8","0x497","0x4d5","0x6f","0x9","0x0","0x0","0x0","0x0","0x0","0x0",3,0,0,0,0,"0x11",150,0,"0x6d","0x24","0x0",0,"0x0","0x0","0x0"
"0x70 Torch","0x3e9","0x498","0x4d6","0x70","0x9","0x0","0x0","0x0","0x0","0x0","0x0",5,0,0,0,0,"0x11",100,0,"0x6e","0x25","0x0",0,"0x0","0x0","0x0"
"0x71 Fili Shield","0x3ea","0x499","0x4d7","0x71","0x9","0x8","0x40","0x0","0x0","0x0","0x0",0,0,0,0,0,"0x11",10000,0,"0xda","0x0","0x0",0,"0x0","0x0","0x0"
"0x72 Member Card","0x3eb","0x49a","0x4d8","0x72","0x9","0x0","0x0","0x0","0x0","0x0","0x0",1,0,0,0,0,"0x11",6000,0,"0x84","0x0","0x0",0,"0x0","0x0","0x0"
"0x73 Silver Card","0x3ec","0x49b","0x4d9","0x73","0x9","0x0","0x0","0x0","0x0","0x0","0x0",1,0,0,0,0,"0x11",4000,0,"0x85","0x0","0x0",0,"0x0","0x0","0x0"
"0x74 White Gem","0x3ef","0x49e","0x0","0x74","0x9","0x0","0x0","0x0","0x0","0x0","0x0",1,0,0,0,0,"0x11",20000,0,"0x86","0x0","0x0",0,"0x0","0x0","0x0"
"0x75 Blue Gem","0x3f0","0x49f","0x0","0x75","0x9","0x0","0x0","0x0","0x0","0x0","0x0",1,0,0,0,0,"0x11",10000,0,"0x87","0x0","0x0",0,"0x0","0x0","0x0"
"0x76 Red Gem","0x3f1","0x4a0","0x0","0x76","0x9","0x0","0x0","0x0","0x0","0x0","0x0",1,0,0,0,0,"0x11",5000,0,"0x88","0x0","0x0",0,"0x0","0x0","0x0"
"0x77 Gold","0x3f2","0x4a1","0x4da","0x77","0x9","0x0","0x0","0x0","0x0","0x0","0x0",1,0,0,0,0,"0x11",0,0,"0x89","0x0","0x0",0,"0x0","0x0","0x0"
"0x78 Reginleif","0x374","0x424","0x0","0x78","0x1","0x11","0x0","0x8","0x0","0x0","LordWeaponEffectiveness|IsPointer",45,10,80,8,10,"0x11",160,0,"0xb3","0x0","0x0",2,"0x0","0x0","0x0"
"0x79 Chest Key","0x3e2","0x491","0x4cf","0x79","0x9","0x0","0x0","0x0","0x0","0x0","0x0",5,0,0,0,0,"0x11",300,0,"0x67","0x26","0x0",0,"0x0","0x0","0x0"
"0x7A Dummy","0x403","0x4ab","0x0","0x7a","0x9","0x0","0x0","0x0","0x0","0x0","0x0",1,0,0,0,0,"0x11",500,0,"0x8c","0x27","0x0",0,"0x0","0x0","0x0"
