INLINE PromotionBranchTable,Class Selection 1,Class Selection 2
0x5A Cyclops,0x0,0x0
0x5B Mauthe Doog,Gwyllgi,0x0
0x5C Gwyllgi,0x0,0x0
0x5D Tarvos,Maelduin,0x0
0x5E Maelduin,0x0,0x0
0x5F Mogall,ArchMogall,0x0
0x60 Arch Mogall,0x0,0x0
0x61 Gorgon,0x0,0x0
0x62 Gorgon Egg,0x0,0x0
0x63 Gargoyle,Deathgoyle,0x0
0x64 Deathgoyle,0x0,0x0
0x65 Draco Zombie,0x0,0x0
0x66 Demon King,0x0,0x0
0x67,0x0,0x0
0x68,0x0,0x0
0x69,0x0,0x0
0x6A,0x0,0x0
0x6B,0x0,0x0
0x6C,0x0,0x0
0x6D Civilian,0x0,0x0
0x6E Civilian,0x0,0x0
0x6F Civilian,0x0,0x0
0x70 Civilian,0x0,0x0
0x71 Civilian,0x0,0x0
0x72 Civilian,0x0,0x0
0x73,0x0,0x0
0x74 Queen,0x0,0x0
0x75,0x0,0x0
0x76 Queen,0x0,0x0
0x77,0x0,0x0
0x78,0x0,0x0
0x79 Tent,0x0,0x0
0x7A Pontifex,0x0,0x0
0x7B,0x0,0x0
0x7C Lance Cavalier M,LancePaladin,GreatKnight
0x7D Lance Cavalier F,LancePaladin_F,GreatKnight_F
0x7E Axe Cavalier M,AxePaladin,GreatKnight
0x7F Axe Cavalier F,AxePaladin_F,GreatKnight_F
0x80 Lance/Sword Pal M,0x0,0x0
0x81 Lance/Sword Pal F,0x0,0x0
0x82 Axe/Lance Pal M,0x0,0x0
0x83 Axe/Lance Pal F,0x0,0x0
0x84 Knight Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
,0xff,0xff
